主,客,主得,,主失,,客得,,客失,,主10,,客10,,主,客,勝負,,,,,
,,,,,,,,,,,,,,,,,,62.00,,0.61,5.21
平均,,112.24,0.00,112.36,0.00,112.63,0.00,112.17,0.00,0.49,0.00,0.51,0.00,115.14,111.33,0.61,3.81,,,,
標準差,,4.23,1.00,4.17,1.00,4.56,1.00,4.55,1.00,0.18,1.00,0.19,1.00,11.44,11.55,0.49,12.45,,,,
,,,,,,,,,,,,,,,,,,,,,
魔術,獨行俠,111.80,-0.10,116.40,0.97,113.00,0.08,107.40,-1.05,0.30,-1.08,0.60,0.46,94.00,87.00,1.00,7.00,3.44,0.00,,
溜馬,金塊,117.10,1.15,118.00,1.35,116.20,0.78,113.90,0.38,0.50,0.05,0.80,1.51,119.00,122.00,0.00,-3.00,6.20,0.00,,
黃蜂,拓荒者,107.10,-1.21,115.00,0.63,109.80,-0.62,108.90,-0.72,0.20,-1.65,0.70,0.99,95.00,105.00,0.00,-10.00,6.46,0.00,,
暴龍,火箭,112.30,0.01,106.70,-1.36,110.70,-0.42,118.00,1.28,0.60,0.61,0.20,-1.64,116.00,109.00,1.00,7.00,6.74,0.00,,
老鷹,爵士,116.50,1.01,113.60,0.30,116.40,0.83,111.80,-0.08,0.60,0.61,0.70,0.99,119.00,125.00,0.00,-6.00,3.14,0.00,,
籃網,尼克,110.80,-0.34,109.60,-0.66,115.00,0.52,115.00,0.62,0.40,-0.52,0.50,-0.06,112.00,85.00,1.00,27.00,1.48,1.00,1.00,27.00
賽爾提克,活塞,117.80,1.31,114.40,0.49,107.20,-1.19,118.30,1.35,0.70,1.18,0.20,-1.64,128.00,112.00,1.00,16.00,9.29,0.00,,
馬刺,灰熊,114.00,0.42,119.80,1.79,116.20,0.78,114.90,0.60,0.40,-0.52,0.60,0.46,122.00,124.00,0.00,-2.00,4.82,0.00,,
公牛,鵜鶘,112.10,-0.03,110.20,-0.52,118.50,1.29,114.60,0.53,0.50,0.05,0.50,-0.06,111.00,115.00,0.00,-4.00,2.22,1.00,0.00,-4.00
灰狼,太陽,113.60,0.32,115.20,0.68,112.40,-0.05,103.50,-1.90,0.40,-0.52,0.70,0.99,117.00,129.00,0.00,-12.00,5.44,0.00,,
